type,day,txn_count,txn_value
CASH_OUT,18.0,6201,1268186670.9699998
DEBIT,18.0,186,372801.07999999984
PAYMENT,18.0,7680,101076198.74000028
TRANSFER,18.0,1867,1507038056.7999961
CASH_IN,19.0,2709,420175723.27999985
CASH_OUT,19.0,3230,688469565.3299992
DEBIT,19.0,66,172813.10999999996
PAYMENT,19.0,4302,46224507.74999994
TRANSFER,19.0,993,781852933.6700011
CASH_IN,20.0,4366,768702632.4600018
CASH_OUT,20.0,6191,1168512872.610002
DEBIT,20.0,138,288523.99
PAYMENT,20.0,7081,81603483.98000005
TRANSFER,20.0,1951,1577265705.479999
CASH_IN,21.0,5634,958074265.3000013
CASH_OUT,21.0,7567,1435561947.4299943
DEBIT,21.0,112,2938376.0999999996
PAYMENT,21.0,8739,119200369.06999972
TRANSFER,21.0,2541,2324646363.74
CASH_IN,22.0,12005,1977852667.939996
CASH_OUT,22.0,16732,2925898069.920003
DEBIT,22.0,522,1721708.1800000004
PAYMENT,22.0,19381,283788030.53999984
TRANSFER,22.0,4797,4326018141.679995
CASH_IN,23.0,11552,1976997662.2100031
CASH_OUT,23.0,16132,2717095327.23001
DEBIT,23.0,409,1723238.2100000004
PAYMENT,23.0,18261,240197705.52999976
TRANSFER,23.0,4658,3258732064.7699924
CASH_IN,24.0,7417,1297385680.659997
CASH_OUT,24.0,10676,1978674043.0999954
DEBIT,24.0,196,1084193.8500000003
PAYMENT,24.0,11322,121904195.90000007
TRANSFER,24.0,3098,1844461256.5399995
CASH_IN,25.0,13088,2182680755.979991
CASH_OUT,25.0,19054,3165375700.6199813
DEBIT,25.0,491,1286473.7000000007
PAYMENT,25.0,19871,212364772.02999976
TRANSFER,25.0,5349,3615779625.530003
CASH_IN,26.0,3289,540132665.1200005
CASH_OUT,26.0,4214,795112322.8300002
DEBIT,26.0,110,338979.8999999999
PAYMENT,26.0,5028,51560574.25000017
TRANSFER,26.0,1244,841565164.230001
CASH_IN,27.0,2093,357315320.1500004
CASH_OUT,27.0,2834,693212330.8199996
DEBIT,27.0,30,38197.020000000004
PAYMENT,27.0,2733,35865484.779999904
TRANSFER,27.0,888,669837463.9900004
CASH_IN,28.0,3576,616923469.1400001
CASH_OUT,28.0,4229,935595788.0699978
DEBIT,28.0,96,289546.37
PAYMENT,28.0,5265,49402738.16000004
TRANSFER,28.0,1495,1404506496.020001
CASH_IN,29.0,12682,2102150748.5500011
CASH_OUT,29.0,17965,3262505549.9100084
DEBIT,29.0,462,1563235.8299999998
PAYMENT,29.0,18433,225535105.31999922
TRANSFER,29.0,5348,3765881812.460009
CASH_IN,30.0,2419,391416841.2200004
CASH_OUT,30.0,4047,912604519.8099997
DEBIT,30.0,125,510421.59999999974
PAYMENT,30.0,3682,47394388.14000003
TRANSFER,30.0,1014,643974235.3999999
CASH_OUT,31.0,136,212547715.95
TRANSFER,31.0,136,235538518.89000002
